epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.761957049369812,0.6331610083580017,0.001,0.681640625,0.8602243065834045,0.33359065651893616,0.6465696692466736
1,0.7870064973831177,0.5647280216217041,0.001,0.711669921875,0.8472821116447449,0.35048437118530273,0.6798336505889893
2,0.7938182353973389,0.5454521179199219,0.001,0.720458984375,0.8460742235183716,0.34194841980934143,0.6902287006378174
3,0.7968212366104126,0.5360530018806458,0.001,0.72265625,0.8226056694984436,0.3599439561367035,0.7193347215652466
4,0.7992382645606995,0.5310258865356445,0.001,0.723388671875,0.8476272821426392,0.33582961559295654,0.6860706806182861
5,0.7985790371894836,0.5351545810699463,0.001,0.72216796875,0.8345125317573547,0.364206999540329,0.7214137315750122
6,0.8005566596984863,0.526319146156311,0.0005,0.725341796875,0.8414149880409241,0.3519236445426941,0.7193347215652466
7,0.8020215630531311,0.5219146609306335,0.0005,0.72900390625,0.8267471790313721,0.3637254536151886,0.7110186815261841
8,0.8060499429702759,0.516269862651825,0.0005,0.735107421875,0.8346850872039795,0.34739094972610474,0.7234927415847778
9,0.8034864068031311,0.515947163105011,0.0005,0.726806640625,0.8258844017982483,0.367794007062912,0.752598762512207
10,0.8079543113708496,0.5171390771865845,0.0005,0.737548828125,0.83123379945755,0.3596624433994293,0.7234927415847778
