epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8108108043670654,0.5016955733299255,1e-05,0.74853515625,0.8139775395393372,0.3887386620044708,0.8087317943572998
1,0.8212847113609314,0.48104679584503174,1e-05,0.771240234375,0.7846419215202332,0.44283556938171387,0.8399168252944946
2,0.8277301788330078,0.4626244008541107,1e-05,0.785888671875,0.8660914301872253,0.30600905418395996,0.7422037124633789
3,0.8355672955513,0.45276975631713867,1e-05,0.793212890625,0.8360655903816223,0.35374385118484497,0.7879418134689331
4,0.8402549028396606,0.4361000955104828,1e-05,0.8056640625,0.8319240808486938,0.36731189489364624,0.812889814376831
5,0.8472862839698792,0.4198471009731293,5e-06,0.80712890625,0.8471095561981201,0.3353624939918518,0.7962577939033508
6,0.8508752584457397,0.4151238203048706,5e-06,0.812744140625,0.8421052694320679,0.34953591227531433,0.8170478343963623
7,0.8536585569381714,0.40869414806365967,2.5e-06,0.81982421875,0.8536669611930847,0.3272060453891754,0.777546763420105
