epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7623233199119568,0.6354442238807678,0.001,0.6865234375,0.8148403763771057,0.3871203660964966,0.7193347215652466
1,0.7897897958755493,0.5607203245162964,0.001,0.709228515625,0.8410698771476746,0.34997740387916565,0.6798336505889893
2,0.7956492900848389,0.5481555461883545,0.001,0.72265625,0.8186367750167847,0.38359224796295166,0.752598762512207
3,0.7959423065185547,0.5454789400100708,0.001,0.71826171875,0.8143227100372314,0.3874559700489044,0.7401247620582581
4,0.7982128262519836,0.5352611541748047,0.001,0.726318359375,0.8172562718391418,0.3835066258907318,0.765072762966156
5,0.7971141934394836,0.5339802503585815,0.001,0.728271484375,0.8245038986206055,0.3704572021961212,0.7151767015457153
6,0.8031934499740601,0.5244417190551758,0.001,0.7275390625,0.8481449484825134,0.33974385261535645,0.704781711101532
7,0.7998974323272705,0.5317453742027283,0.001,0.720703125,0.8070750832557678,0.39657238125801086,0.7692307829856873
8,0.8012158274650574,0.5295630097389221,0.001,0.72998046875,0.8289905190467834,0.36355045437812805,0.7588357329368591
9,0.7998974323272705,0.5330144166946411,0.001,0.727783203125,0.8227782845497131,0.36712366342544556,0.7546777725219727
10,0.8027539849281311,0.5223639607429504,0.001,0.73388671875,0.8238136172294617,0.36819756031036377,0.7422037124633789
11,0.8015820980072021,0.5283300280570984,0.001,0.725830078125,0.839516818523407,0.36866775155067444,0.717255711555481
12,0.8113967776298523,0.5134980082511902,0.0005,0.738525390625,0.8196721076965332,0.37267932295799255,0.7588357329368591
13,0.804072380065918,0.5159964561462402,0.0005,0.73583984375,0.821052610874176,0.3669467270374298,0.7359667420387268
14,0.8092727065086365,0.5096838474273682,0.0005,0.740234375,0.8205349445343018,0.3702864944934845,0.7422037124633789
15,0.8103713393211365,0.5073121190071106,0.0005,0.74072265625,0.8226056694984436,0.3681904077529907,0.7505197525024414
16,0.8075148463249207,0.5106385946273804,0.0005,0.736572265625,0.8179464936256409,0.3702746331691742,0.7297297120094299
