epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.5375000238418579,1.2034142017364502,0.001,0.5333333611488342,0.550000011920929,0.6800845265388489,0.5
1,0.5375000238418579,1.1231813430786133,0.001,0.6000000238418579,0.6499999761581421,0.682344913482666,0.699999988079071
2,0.625,0.8958491086959839,0.001,0.6666666865348816,0.699999988079071,0.6825225353240967,0.800000011920929
3,0.6499999761581421,0.8178868293762207,0.001,0.7333333492279053,0.6499999761581421,0.6829894185066223,0.800000011920929
4,0.7250000238418579,0.7785912752151489,0.001,0.7777777910232544,0.5,0.6868817210197449,0.8999999761581421
5,0.699999988079071,0.6961072087287903,0.001,0.8444444537162781,0.5,0.6903413534164429,0.8999999761581421
6,0.762499988079071,0.6565061211585999,0.0005,0.7777777910232544,0.5,0.6908091306686401,0.8999999761581421
7,0.7250000238418579,0.6535833477973938,0.0005,0.8222222328186035,0.5,0.6920703649520874,0.8999999761581421
8,0.7124999761581421,0.7167891263961792,0.0005,0.800000011920929,0.5,0.6943247318267822,0.8999999761581421
9,0.800000011920929,0.589959442615509,0.0005,0.8888888955116272,0.5,0.693583071231842,0.8999999761581421
10,0.7124999761581421,0.6593014597892761,0.0005,0.8444444537162781,0.5,0.6940008401870728,0.8999999761581421
