epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7875000238418579,0.5216715931892395,1e-04,0.9111111164093018,0.6499999761581421,0.6344164609909058,1.0
1,0.9125000238418579,0.3296303153038025,1e-04,0.9555555582046509,0.6499999761581421,0.6293913125991821,1.0
2,0.8374999761581421,0.446537584066391,1e-04,0.9333333373069763,0.75,0.6244050860404968,1.0
3,0.875,0.3882412910461426,1e-04,0.9333333373069763,0.75,0.6243014335632324,1.0
4,0.8999999761581421,0.30385690927505493,1e-04,0.9333333373069763,0.75,0.6206392049789429,1.0
5,0.9125000238418579,0.3394942283630371,1e-04,0.9333333373069763,0.75,0.6239105463027954,1.0
6,0.949999988079071,0.24977481365203857,1e-04,0.9777777791023254,0.699999988079071,0.6264580488204956,1.0
7,0.949999988079071,0.2513495087623596,1e-04,1.0,0.699999988079071,0.6204499006271362,1.0
8,0.925000011920929,0.22820508480072021,1e-04,0.9777777791023254,0.75,0.6113637089729309,1.0
9,0.8999999761581421,0.28727012872695923,1e-04,0.9777777791023254,0.75,0.6154277920722961,1.0
10,0.9375,0.28207430243492126,1e-04,0.9777777791023254,0.699999988079071,0.6287016868591309,1.0
11,0.987500011920929,0.17464566230773926,1e-04,0.9777777791023254,0.699999988079071,0.6323970556259155,1.0
12,0.9750000238418579,0.17461927235126495,1e-04,1.0,0.75,0.6248299479484558,1.0
13,0.9750000238418579,0.16478309035301208,1e-04,1.0,0.699999988079071,0.6253222823143005,1.0
14,0.9624999761581421,0.20866301655769348,5e-05,1.0,0.75,0.623120903968811,1.0
15,0.987500011920929,0.13860882818698883,5e-05,1.0,0.75,0.6217540502548218,1.0
16,0.925000011920929,0.23659095168113708,5e-05,0.9777777791023254,0.75,0.6281355023384094,1.0
17,0.9624999761581421,0.16000264883041382,5e-05,1.0,0.75,0.6253687739372253,1.0
18,0.987500011920929,0.1265120804309845,5e-05,0.9777777791023254,0.75,0.6200371980667114,1.0
