epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8149856925010681,0.4954177737236023,1e-05,0.74658203125,0.8367558121681213,0.3522092401981354,0.7671517729759216
1,0.8196733593940735,0.4799518287181854,1e-05,0.771240234375,0.8469370007514954,0.3288004696369171,0.7588357329368591
2,0.8299275040626526,0.4588938355445862,1e-05,0.784912109375,0.8184642195701599,0.3842316269874573,0.8212057948112488
3,0.8379843235015869,0.44623661041259766,1e-05,0.79296875,0.8495254516601562,0.3285807967185974,0.7733888030052185
4,0.8439170718193054,0.43266114592552185,1e-05,0.80810546875,0.8676445484161377,0.30327746272087097,0.7546777725219727
5,0.849044144153595,0.41998857259750366,1e-05,0.807373046875,0.8704054951667786,0.29662200808525085,0.7380457520484924
6,0.8524134159088135,0.40877386927604675,1e-05,0.819091796875,0.8595340847969055,0.32369551062583923,0.7692307829856873
7,0.8584194183349609,0.397009015083313,1e-05,0.823974609375,0.8588438034057617,0.31525543332099915,0.777546763420105
8,0.8661100268363953,0.3782733380794525,5e-06,0.839111328125,0.8421052694320679,0.34632736444473267,0.812889814376831
9,0.8658170104026794,0.378068208694458,5e-06,0.831787109375,0.8548749089241028,0.3296681046485901,0.8024948239326477
10,0.8721892833709717,0.36651644110679626,2.5e-06,0.842529296875,0.868852436542511,0.30393746495246887,0.7733888030052185
