epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7641543745994568,0.6266729235649109,0.001,0.687255859375,0.8272649049758911,0.36911213397979736,0.6839916706085205
1,0.7891305685043335,0.5641062259674072,0.001,0.710205078125,0.811389148235321,0.38471052050590515,0.7234927415847778
2,0.7961620092391968,0.5486922860145569,0.001,0.720458984375,0.8222605586051941,0.37337037920951843,0.7130976915359497
3,0.7952830791473389,0.5424944758415222,0.001,0.719970703125,0.8446937203407288,0.34032559394836426,0.6964656710624695
4,0.8010693788528442,0.5355921983718872,0.001,0.724609375,0.8331320285797119,0.3623823821544647,0.7463617324829102
5,0.8038526177406311,0.5288153886795044,0.001,0.736572265625,0.8484900593757629,0.3317941725254059,0.6881496906280518
6,0.8079543113708496,0.528016984462738,0.001,0.736083984375,0.840724766254425,0.3546079695224762,0.717255711555481
7,0.8034864068031311,0.5315544605255127,0.001,0.7294921875,0.8286454081535339,0.36589375138282776,0.7359667420387268
8,0.8005566596984863,0.5288597345352173,0.001,0.729248046875,0.8396893739700317,0.3441653251647949,0.7151767015457153
9,0.804072380065918,0.5280187726020813,0.001,0.7275390625,0.8317515254020691,0.36215493083000183,0.7422037124633789
10,0.8015820980072021,0.5318458080291748,0.001,0.727294921875,0.829335629940033,0.37711426615715027,0.7297297120094299
11,0.8090529441833496,0.5163875222206116,0.0005,0.739501953125,0.8286454081535339,0.36612749099731445,0.7401247620582581
12,0.8061964511871338,0.5130773186683655,0.0005,0.73681640625,0.8433132171630859,0.33958664536476135,0.7110186815261841
13,0.8082472681999207,0.5074149966239929,0.0005,0.737548828125,0.8331320285797119,0.3596492111682892,0.7401247620582581
14,0.8113235235214233,0.5098211765289307,0.0005,0.73828125,0.8410698771476746,0.34103602170944214,0.7297297120094299
15,0.8088332414627075,0.5114125609397888,0.0005,0.73779296875,0.8398619294166565,0.34113818407058716,0.7297297120094299
