epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8122024536132812,0.5019707679748535,1e-05,0.723876953125,0.8393442630767822,0.3397676646709442,0.7089397311210632
1,0.8183549642562866,0.49820849299430847,1e-05,0.740234375,0.83433997631073,0.34845423698425293,0.7234927415847778
2,0.8127151727676392,0.5022115111351013,1e-05,0.738037109375,0.8339948058128357,0.3512985408306122,0.7318087220191956
3,0.8156449198722839,0.5024335384368896,5e-06,0.734619140625,0.8384814262390137,0.3413381576538086,0.7151767015457153
4,0.8168168067932129,0.49754440784454346,5e-06,0.73828125,0.8338222503662109,0.3504047691822052,0.7297297120094299
5,0.8139603137969971,0.49774786829948425,2.5e-06,0.73486328125,0.8374460935592651,0.3436402380466461,0.7255717515945435
