epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7925730347633362,0.559648334980011,1e-04,0.7314453125,0.8938740491867065,0.27114343643188477,0.5530145764350891
1,0.8542444705963135,0.4006672203540802,1e-04,0.8271484375,0.8686798810958862,0.31214478611946106,0.8087317943572998
2,0.8938694596290588,0.3134402930736542,1e-04,0.86865234375,0.8886971473693848,0.27047547698020935,0.7796257734298706
3,0.9202373027801514,0.23957228660583496,1e-04,0.906005859375,0.9006039500236511,0.2504699230194092,0.752598762512207
4,0.9442613124847412,0.17652776837348938,1e-04,0.93212890625,0.898015558719635,0.27156490087509155,0.7671517729759216
5,0.956053614616394,0.142519012093544,1e-04,0.94580078125,0.9037100672721863,0.2630026340484619,0.7318087220191956
6,0.9674796462059021,0.1077568382024765,1e-04,0.963623046875,0.8985332250595093,0.3168712258338928,0.7983368039131165
7,0.9716545939445496,0.09353111684322357,1e-04,0.962158203125,0.9050905704498291,0.32235318422317505,0.7733888030052185
8,0.977733850479126,0.07870632410049438,1e-04,0.97314453125,0.889214813709259,0.4201159179210663,0.8191268444061279
9,0.9865230917930603,0.05141293630003929,5e-05,0.98388671875,0.9083693027496338,0.32988905906677246,0.7796257734298706
10,0.988061249256134,0.048000019043684006,5e-05,0.984375,0.9100949168205261,0.314550518989563,0.7609147429466248
11,0.9882076978683472,0.044353947043418884,5e-05,0.984619140625,0.9018118977546692,0.37992194294929504,0.7920997738838196
12,0.988793671131134,0.038330551236867905,5e-05,0.98681640625,0.9149266481399536,0.31434163451194763,0.7629937529563904
13,0.9906980395317078,0.0340765155851841,5e-05,0.989990234375,0.9078515768051147,0.33461523056030273,0.7837837934494019
