epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7660587430000305,0.6224350333213806,0.001,0.684326171875,0.8464193344116211,0.3610537350177765,0.6777547001838684
1,0.7899363040924072,0.5640349984169006,0.001,0.70947265625,0.8091458082199097,0.38397035002708435,0.7234927415847778
2,0.7957225441932678,0.550523042678833,0.001,0.72314453125,0.805176854133606,0.405076265335083,0.7422037124633789
3,0.7968212366104126,0.542146623134613,0.001,0.720947265625,0.8257118463516235,0.3734152913093567,0.7422037124633789
4,0.803706169128418,0.525924563407898,0.001,0.730224609375,0.8208800554275513,0.37626031041145325,0.7297297120094299
5,0.7977001667022705,0.5324549674987793,0.001,0.72607421875,0.8433132171630859,0.33926281332969666,0.7006236910820007
6,0.7990917563438416,0.534101128578186,0.001,0.7255859375,0.8431406617164612,0.3411270081996918,0.7006236910820007
7,0.804804801940918,0.5302292108535767,0.001,0.72900390625,0.8129422068595886,0.38948315382003784,0.7754677534103394
8,0.8020947575569153,0.5294378995895386,0.001,0.729736328125,0.8403796553611755,0.34652695059776306,0.7130976915359497
9,0.7987987995147705,0.5317195653915405,0.001,0.727294921875,0.8077653050422668,0.3990500271320343,0.7858628034591675
10,0.7992382645606995,0.5263353586196899,0.001,0.7265625,0.8446937203407288,0.34408485889434814,0.7089397311210632
11,0.8046582937240601,0.5175600051879883,0.0005,0.727783203125,0.8362381458282471,0.35312050580978394,0.7089397311210632
12,0.8006299138069153,0.5199549198150635,0.0005,0.725830078125,0.8144952654838562,0.38216519355773926,0.7837837934494019
13,0.8091994524002075,0.5137448906898499,0.0005,0.7421875,0.8386540412902832,0.3414408266544342,0.704781711101532
14,0.8115432262420654,0.5116444826126099,0.0005,0.738525390625,0.8257118463516235,0.36316704750061035,0.7484407424926758
15,0.8075148463249207,0.5111181139945984,0.0005,0.7373046875,0.8229508399963379,0.369650274515152,0.7505197525024414
