epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8049513101577759,0.5280551314353943,1e-04,0.74267578125,0.7948231101036072,0.43509605526924133,0.8232848048210144
1,0.8334432244300842,0.4614351987838745,1e-04,0.792236328125,0.7899913787841797,0.4502643644809723,0.82536381483078
2,0.8464806079864502,0.4303748905658722,1e-04,0.7978515625,0.8067299127578735,0.4069112539291382,0.8108108043670654
3,0.859005331993103,0.39504098892211914,1e-04,0.82470703125,0.8666091561317444,0.3003774881362915,0.7338877320289612
4,0.8755584955215454,0.36128395795822144,1e-04,0.832763671875,0.8267471790313721,0.38464510440826416,0.8357588648796082
5,0.8860324025154114,0.32682985067367554,1e-04,0.855224609375,0.8628127574920654,0.31496119499206543,0.7837837934494019
6,0.8992162942886353,0.29843392968177795,1e-04,0.86328125,0.83123379945755,0.4043657183647156,0.82536381483078
7,0.9085915088653564,0.2691653072834015,1e-04,0.881591796875,0.873339056968689,0.31569892168045044,0.7837837934494019
8,0.9227275848388672,0.23857399821281433,1e-04,0.899169921875,0.8771354556083679,0.30580660700798035,0.7692307829856873
9,0.9373031854629517,0.19715049862861633,5e-05,0.91943359375,0.8614322543144226,0.34036362171173096,0.8045738339424133
10,0.946092426776886,0.1825249344110489,5e-05,0.93505859375,0.8759275078773499,0.3113458454608917,0.7817047834396362
11,0.9494616389274597,0.17012852430343628,5e-05,0.93603515625,0.8426229357719421,0.41641291975975037,0.837837815284729
12,0.9538562893867493,0.15455612540245056,5e-05,0.940673828125,0.8902502059936523,0.29310092329978943,0.7754677534103394
13,0.9551746845245361,0.14889031648635864,5e-05,0.941162109375,0.8973252773284912,0.28429311513900757,0.752598762512207
14,0.9603750109672546,0.1413683295249939,5e-05,0.947509765625,0.8754098415374756,0.3437149226665497,0.7858628034591675
15,0.9633780121803284,0.12888203561306,5e-05,0.95166015625,0.8755823969841003,0.37437668442726135,0.82536381483078
16,0.9645498991012573,0.11773105710744858,5e-05,0.9541015625,0.8900776505470276,0.32187047600746155,0.7754677534103394
17,0.966600775718689,0.1145852580666542,5e-05,0.957763671875,0.882830023765564,0.3461220860481262,0.7796257734298706
18,0.9705559015274048,0.10428204387426376,5e-05,0.96044921875,0.8814495205879211,0.36296141147613525,0.7858628034591675
19,0.9714348316192627,0.09776178747415543,2.5e-05,0.96337890625,0.8802415728569031,0.3615896999835968,0.790020763874054
20,0.9761956930160522,0.08721000701189041,2.5e-05,0.96923828125,0.8793787956237793,0.37693193554878235,0.8045738339424133
21,0.9745843410491943,0.08605202287435532,2.5e-05,0.969482421875,0.8964624404907227,0.33403146266937256,0.7879418134689331
22,0.9766351580619812,0.08380948752164841,2.5e-05,0.96923828125,0.8871440887451172,0.3519749939441681,0.790020763874054
23,0.9762689471244812,0.08336441218852997,2.5e-05,0.966552734375,0.8897325396537781,0.35215774178504944,0.790020763874054
