epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8067823648452759,0.5111127495765686,1e-05,0.737060546875,0.830543577671051,0.35157057642936707,0.7276507019996643
1,0.8106642961502075,0.5091111660003662,1e-05,0.737548828125,0.8298532962799072,0.355155348777771,0.7422037124633789
2,0.8105178475379944,0.5045464038848877,1e-05,0.74365234375,0.8317515254020691,0.349059134721756,0.7318087220191956
3,0.8115432262420654,0.4990065097808838,1e-05,0.738037109375,0.8300259113311768,0.35277849435806274,0.7401247620582581
4,0.8146194815635681,0.4969446063041687,1e-05,0.74755859375,0.8331320285797119,0.3473382592201233,0.7318087220191956
5,0.8069288730621338,0.5038661360740662,1e-05,0.735107421875,0.830543577671051,0.3528635799884796,0.7401247620582581
6,0.8122024536132812,0.5045616030693054,1e-05,0.74072265625,0.8320966362953186,0.3504379689693451,0.7359667420387268
7,0.8174027800559998,0.5012428164482117,5e-06,0.7470703125,0.8341673612594604,0.3471227288246155,0.7338877320289612
8,0.8133743405342102,0.49839285016059875,5e-06,0.743408203125,0.8301984667778015,0.3541848659515381,0.7380457520484924
9,0.8115432262420654,0.5037544965744019,5e-06,0.740478515625,0.8310612440109253,0.3521234393119812,0.7338877320289612
10,0.814765989780426,0.4982070326805115,2.5e-06,0.744873046875,0.8296807408332825,0.35531219840049744,0.7422037124633789
11,0.8123489618301392,0.49692779779434204,2.5e-06,0.74072265625,0.8352027535438538,0.3460080325603485,0.7276507019996643
12,0.8090529441833496,0.5068424344062805,2.5e-06,0.741455078125,0.8345125317573547,0.34869077801704407,0.7359667420387268
13,0.8108108043670654,0.5015844702720642,2.5e-06,0.741943359375,0.8291630744934082,0.35664063692092896,0.7422037124633789
14,0.8067091703414917,0.505091667175293,1.25e-06,0.730224609375,0.8346850872039795,0.34762078523635864,0.7318087220191956
15,0.8125686645507812,0.5004939436912537,1.25e-06,0.743896484375,0.8336496949195862,0.3493410646915436,0.7359667420387268
16,0.8126419186592102,0.5039569139480591,6.25e-07,0.736083984375,0.8295081853866577,0.3573840856552124,0.7422037124633789
