epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.8111037611961365,0.5034723877906799,1e-05,0.766845703125,0.8672993779182434,0.303596168756485,0.6860706806182861
1,0.8166703581809998,0.4817003905773163,1e-05,0.780517578125,0.8284727931022644,0.3696509003639221,0.7671517729759216
2,0.827070951461792,0.4670911431312561,1e-05,0.784912109375,0.8412424325942993,0.3457311987876892,0.777546763420105
3,0.8314656019210815,0.4506596326828003,1e-05,0.7958984375,0.8155306577682495,0.4012194275856018,0.8274428248405457
4,0.8418662548065186,0.43483901023864746,5e-06,0.8212890625,0.8638481497764587,0.3161641061306,0.7629937529563904
5,0.8451622128486633,0.4251216948032379,5e-06,0.81298828125,0.8531492948532104,0.32939571142196655,0.7692307829856873
