epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7655460238456726,0.6249390840530396,0.001,0.692138671875,0.839516818523407,0.35830551385879517,0.6735966801643372
1,0.7838570475578308,0.5696433782577515,0.001,0.70361328125,0.8402070999145508,0.33601194620132446,0.6819126605987549
2,0.793305516242981,0.5464344024658203,0.001,0.719482421875,0.8245038986206055,0.3553171753883362,0.6985446810722351
3,0.7996044754981995,0.5366955399513245,0.001,0.727294921875,0.8331320285797119,0.3541441857814789,0.7380457520484924
4,0.8007031679153442,0.536202073097229,0.001,0.728759765625,0.8279551267623901,0.362254798412323,0.7463617324829102
5,0.7955760359764099,0.535660445690155,0.001,0.723876953125,0.8408973217010498,0.3469890356063843,0.7006236910820007
6,0.7995312213897705,0.5292840600013733,0.001,0.73095703125,0.8243313431739807,0.37341833114624023,0.7505197525024414
7,0.804438591003418,0.5143442749977112,0.0005,0.73193359375,0.8391717076301575,0.3422360420227051,0.7089397311210632
8,0.8085402250289917,0.5174789428710938,0.0005,0.73193359375,0.8393442630767822,0.3514774739742279,0.7255717515945435
9,0.8056104779243469,0.5176962018013,0.0005,0.727294921875,0.8270923495292664,0.3616154193878174,0.7463617324829102
10,0.8118362426757812,0.5098415017127991,0.0005,0.73828125,0.825539231300354,0.36562153697013855,0.7463617324829102
11,0.8041456341743469,0.5163546204566956,0.0005,0.723388671875,0.8127696514129639,0.38543838262557983,0.7713097929954529
