epoch,accuracy,loss,lr,recall,val_accuracy,val_loss,val_recall
0,0.7560975551605225,0.637802243232727,0.001,0.6787109375,0.8522864580154419,0.34388285875320435,0.6528066396713257
1,0.7883248925209045,0.5660757422447205,0.001,0.71826171875,0.8136324286460876,0.3952735364437103,0.7588357329368591
2,0.7926462888717651,0.5514004230499268,0.001,0.72265625,0.8360655903816223,0.3622879981994629,0.7255717515945435
3,0.8015820980072021,0.5342140793800354,0.001,0.729248046875,0.8288179636001587,0.3731761574745178,0.7297297120094299
4,0.7985790371894836,0.536058783531189,0.001,0.730224609375,0.8338222503662109,0.36226385831832886,0.7359667420387268
5,0.8007763624191284,0.5316237807273865,0.001,0.736083984375,0.826056957244873,0.3719780445098877,0.7214137315750122
6,0.8057569861412048,0.5175914168357849,0.0005,0.73828125,0.8346850872039795,0.3584234118461609,0.7380457520484924
7,0.8086134791374207,0.5082412958145142,0.0005,0.745849609375,0.8348576426506042,0.35408154129981995,0.7442827224731445
8,0.8122757077217102,0.5125740170478821,0.0005,0.744384765625,0.8365832567214966,0.35403069853782654,0.7442827224731445
9,0.8098586201667786,0.5100246071815491,0.0005,0.738525390625,0.8272649049758911,0.3681860864162445,0.752598762512207
10,0.8037793636322021,0.522038459777832,0.0005,0.737060546875,0.838826596736908,0.34872087836265564,0.7234927415847778
